slug,title,page_type,cluster,search_intent,launch_tier,primary_keyword,primary_volume,aggregate_keyword_volume,keyword_count
esim-iphone,eSIM su iPhone: modelli compatibili e configurazione,guide,Compatibilità,informational,1,iphone dual sim,5000,25850,236
esim-estero,eSIM per l’estero: come scegliere il piano,guide,Viaggio,commercial,1,esim estero,5000,19600,14
esim-usa,Migliore eSIM per USA e Stati Uniti,destination,Destinazioni,commercial,1,esim usa,5000,12700,20
migliore-esim,Migliore eSIM per viaggiare: confronto e criteri,comparison,Confronti,commercial,1,migliore esim,5000,12050,7
esim-egitto,Migliore eSIM per l’Egitto,destination,Destinazioni,commercial,1,esim egitto,5000,11500,5
codice-sconto-holafly,Codice sconto Holafly: come verificare le promozioni,provider,Provider,transactional,1,holafly codice sconto,5000,10000,2
esim-albania,Migliore eSIM per l’Albania,destination,Destinazioni,commercial,1,esim albania,5000,6500,4
esim-come-funziona,"eSIM: come funziona, vantaggi e limiti",guide,Fondamentali,informational,1,esim come funziona,5000,5700,6
airalo-recensioni,"Airalo recensioni: pro, contro e affidabilità",provider,Provider,commercial,1,airalo recensioni,5000,5600,4
esim-giappone,Migliore eSIM per il Giappone,destination,Destinazioni,commercial,1,esim giappone,5000,5500,2
esim-turchia,Migliore eSIM per la Turchia,destination,Destinazioni,commercial,1,esim turchia,5000,5500,2
esim-thailandia,Migliore eSIM per la Thailandia,destination,Destinazioni,commercial,1,esim thailandia,5000,5500,2
airalo-come-funziona,Airalo: come funziona e come si attiva,provider,Provider,commercial,1,airalo come funziona,5000,5100,3
esim-svizzera,Migliore eSIM per la Svizzera,destination,Destinazioni,commercial,1,e sim svizzera,5000,5000,1
holafly-come-funziona,Holafly: come funziona e come si attiva,provider,Provider,commercial,1,holafly come funziona,5000,5000,1
esim-samsung,eSIM su Samsung Galaxy: modelli compatibili,guide,Compatibilità,informational,1,esim samsung,500,8600,161
esim-xiaomi,eSIM su Xiaomi: modelli compatibili,guide,Compatibilità,informational,1,xiaomi esim,500,6750,127
esim-telefoni-compatibili,Telefoni compatibili con eSIM: elenco e verifica,guide,Compatibilità,informational,1,telefoni con esim,500,2600,7
esim-online,"eSIM online: acquisto, consegna e attivazione",guide,Acquisto,transactional,1,esim online,500,2150,7
esim-gratis,eSIM gratis: cosa è davvero gratuito,guide,Acquisto,commercial,1,esim gratuita,500,1700,7
holafly-recensioni,"Holafly recensioni: pro, contro e affidabilità",provider,Provider,commercial,1,holafly esim recensioni,500,1550,4
esim-viaggio,eSIM da viaggio: quando conviene e come prepararla,guide,Viaggio,commercial,1,esim viaggio,500,1500,3
esim-costi,Quanto costa una eSIM? Prezzi e costi da controllare,guide,Acquisto,commercial,1,esim costi,500,1000,2
esim-giga-illimitati,eSIM con dati illimitati: limiti reali e fair use,guide,Piani dati,commercial,1,esim giga illimitati,500,500,1
esim-senza-abbonamento,eSIM senza abbonamento: piani prepagati da viaggio,guide,Piani dati,commercial,1,esim senza abbonamento,500,500,1
esim-solo-dati,eSIM solo dati: come funziona con chiamate e WhatsApp,guide,Piani dati,informational,1,esim solo dati,500,500,1
esim-vs-sim-fisica,"eSIM o SIM fisica: differenze, vantaggi e limiti",comparison,Fondamentali,informational,1,esim fisica,500,500,1
airalo-vs-holafly,Airalo vs Holafly: confronto per tipo di viaggio,comparison,Confronti,commercial,1,,0,0,0
esim-5g,"eSIM 5G: compatibilità, rete e velocità",guide,Tecnologia,informational,2,esim 5g,500,2250,36
esim-dubai-emirati,Migliore eSIM per Dubai ed Emirati Arabi,destination,Destinazioni,commercial,2,esim dubai,500,1500,3
esim-business,eSIM Business per aziende e trasferte,guide,Business,commercial,2,esim business,500,1250,16
esim-android,eSIM su Android: compatibilità e configurazione,guide,Compatibilità,informational,2,esim android,500,1150,5
esim-zanzibar,Migliore eSIM per Zanzibar,destination,Destinazioni,commercial,2,esim zanzibar,500,600,3
esim-oman,Migliore eSIM per l’Oman,destination,Destinazioni,commercial,2,esim oman,500,550,2
ubigi-recensioni,Ubigi recensioni: come funziona e per chi conviene,provider,Provider,commercial,2,ubigi recensioni,500,550,2
esim-repubblica-dominicana,Migliore eSIM per la Repubblica Dominicana,destination,Destinazioni,commercial,2,esim repubblica dominicana,500,500,1
esim-operatori-italiani,eSIM degli operatori italiani: guida comparativa,comparison,Operatori italiani,commercial,3,vodafone esim,5000,106700,301
travelesim-recensioni,Travel eSIM: recensioni e alternative,provider,Provider,commercial,3,travelesim,500,500,1
